batch,epochs,evaluation_0,evaluation_1,hidden,optimizer
32.0,100.0,0.14642440672109058,0.33036561205085285,32.0,rmsprop
32.0,300.0,0.12721097301771128,0.2975795427365631,32.0,rmsprop
32.0,500.0,0.1186863341194714,0.2947671785905313,32.0,rmsprop
32.0,700.0,0.1212975131194728,0.2986696986475879,32.0,rmsprop
64.0,100.0,0.21138786351307093,0.3952305255071173,32.0,rmsprop
64.0,300.0,0.17081418134412674,0.36488180017587396,32.0,rmsprop
64.0,500.0,0.18996191122957432,0.3440765654685217,32.0,rmsprop
64.0,700.0,0.10758410508807338,0.28873337190360177,32.0,rmsprop
128.0,100.0,0.2508458893857239,0.4151226454439935,32.0,rmsprop
128.0,300.0,0.19995388252138,0.39333984390019067,32.0,rmsprop
128.0,500.0,0.19563175432442967,0.35917177214103,32.0,rmsprop
128.0,700.0,0.11932154835444975,0.2998607672628512,32.0,rmsprop
256.0,100.0,0.4764666586991896,0.5359821650616221,32.0,rmsprop
256.0,300.0,0.486164251738072,0.5654654219265907,32.0,rmsprop
256.0,500.0,0.13834212482320196,0.3112027415471765,32.0,rmsprop
256.0,700.0,0.15091032467723545,0.3492013197970405,32.0,rmsprop
32.0,100.0,0.15061541357175726,0.3311120358114916,32.0,adam
32.0,300.0,0.13439277402843489,0.31842540820342913,32.0,adam
32.0,500.0,0.1377327506131721,0.3264503366905092,32.0,adam
32.0,700.0,0.14193483747482952,0.33057629481656337,32.0,adam
64.0,100.0,0.3551896536565197,0.4841388120421968,32.0,adam
64.0,300.0,0.1700180431513872,0.3294105397280004,32.0,adam
64.0,500.0,0.1533153942960178,0.32659582815479377,32.0,adam
64.0,700.0,0.16924847417799568,0.34746623740316673,32.0,adam
128.0,100.0,0.5282283839330358,0.5748997291394725,32.0,adam
128.0,300.0,0.17298885843446174,0.3615445549612864,32.0,adam
128.0,500.0,0.13904078644193024,0.32839345996400165,32.0,adam
128.0,700.0,0.14362550471646895,0.3136168092407617,32.0,adam
256.0,100.0,0.4867258112122573,0.5417541131259317,32.0,adam
256.0,300.0,0.2230905142447804,0.39833526561808746,32.0,adam
256.0,500.0,0.45001861342181904,0.5198020652544186,32.0,adam
256.0,700.0,0.2496550999110201,0.3771155249198181,32.0,adam
32.0,100.0,0.9936582173560352,0.7543198765140442,32.0,SGD
32.0,300.0,0.3164556502062449,0.4730840798329088,32.0,SGD
32.0,500.0,0.260481547636824,0.4158150995659233,32.0,SGD
32.0,700.0,0.2704614333862839,0.4152277259204856,32.0,SGD
64.0,100.0,0.4971823941052359,0.5333052844044934,32.0,SGD
64.0,300.0,0.30375537259262725,0.41403433586211735,32.0,SGD
64.0,500.0,0.3366349285929869,0.4841493789426306,32.0,SGD
64.0,700.0,0.203181950086348,0.3941195654981541,32.0,SGD
128.0,100.0,0.395535019061421,0.4933780782373664,32.0,SGD
128.0,300.0,0.3931785417823841,0.5214798256292331,32.0,SGD
128.0,500.0,0.4476242341844867,0.5520024282026784,32.0,SGD
128.0,700.0,0.5068919847056732,0.5654579857846114,32.0,SGD
256.0,100.0,0.3083257091050821,0.4444983526656197,32.0,SGD
256.0,300.0,0.4172408145354132,0.5155775111692386,32.0,SGD
256.0,500.0,0.2346916536410009,0.3851179323106442,32.0,SGD
256.0,700.0,0.32186156076198297,0.4885118305592441,32.0,SGD
32.0,100.0,0.16480043648367454,0.35543251892849936,64.0,rmsprop
32.0,300.0,0.12931261987527987,0.3200039296108851,64.0,rmsprop
32.0,500.0,0.15379976564638512,0.33698523451805984,64.0,rmsprop
32.0,700.0,0.13715246688218574,0.32387988853403804,64.0,rmsprop
64.0,100.0,0.14520272811193402,0.3189908841254141,64.0,rmsprop
64.0,300.0,0.19415403229575004,0.3557850649388767,64.0,rmsprop
64.0,500.0,0.1485420238097412,0.327749325419372,64.0,rmsprop
64.0,700.0,0.1359539362406375,0.31649572584081986,64.0,rmsprop
128.0,100.0,0.2996194358559113,0.472644822904415,64.0,rmsprop
128.0,300.0,0.1907266963225672,0.3759606545173171,64.0,rmsprop
128.0,500.0,0.16641244196122693,0.3394915669322087,64.0,rmsprop
128.0,700.0,0.18191652131684652,0.3623556706031793,64.0,rmsprop
256.0,100.0,0.24260823149064006,0.40684769582400143,64.0,rmsprop
256.0,300.0,0.14187401775735511,0.3193536087353637,64.0,rmsprop
256.0,500.0,0.11317187205537454,0.2853181273361857,64.0,rmsprop
256.0,700.0,0.15614164724596846,0.3317818400777119,64.0,rmsprop
32.0,100.0,0.17884609368938684,0.3636781109754298,64.0,adam
32.0,300.0,0.2049495803483615,0.3624475677693246,64.0,adam
32.0,500.0,0.20070213457196495,0.3609148406684943,64.0,adam
32.0,700.0,0.16397521622383732,0.3284305412088744,64.0,adam
64.0,100.0,0.3202358808298156,0.474754627492467,64.0,adam
64.0,300.0,0.15257681584029903,0.3166678373861153,64.0,adam
64.0,500.0,0.1512418662731287,0.3397133979431682,64.0,adam
64.0,700.0,0.1595129700455808,0.34743599964581245,64.0,adam
128.0,100.0,0.11836025068945663,0.2875953139652222,64.0,adam
128.0,300.0,0.19745580543442534,0.3787676758488285,64.0,adam
128.0,500.0,0.2513333849645176,0.3852732743131483,64.0,adam
128.0,700.0,0.17841577430596384,0.367370267947926,64.0,adam
256.0,100.0,0.4014427958014384,0.5014182904183103,64.0,adam
256.0,300.0,0.292598718499546,0.455579763231884,64.0,adam
256.0,500.0,0.1873481679929968,0.335024359562886,64.0,adam
256.0,700.0,0.22440893335321185,0.3927485661142423,64.0,adam
32.0,100.0,0.19065838686926875,0.372634839708676,64.0,SGD
32.0,300.0,0.1650323549753743,0.3472394324879928,64.0,SGD
32.0,500.0,0.17980921884281054,0.3768767269732962,64.0,SGD
32.0,700.0,0.23959470274775985,0.384978049133728,64.0,SGD
64.0,100.0,0.36552728229835496,0.5072979629946712,64.0,SGD
64.0,300.0,0.3177480748715701,0.4518496043893962,64.0,SGD
64.0,500.0,0.2395551914277776,0.4163747729049974,64.0,SGD
64.0,700.0,0.22487891663593704,0.3907076460935688,64.0,SGD
128.0,100.0,0.4000884101987429,0.5264251918616414,64.0,SGD
128.0,300.0,0.3347760338859992,0.4618019494916779,64.0,SGD
128.0,500.0,0.4603291309970911,0.5607926031383014,64.0,SGD
128.0,700.0,0.20298936760605146,0.3722059018751216,64.0,SGD
256.0,100.0,0.3764834801688545,0.4959316732712222,64.0,SGD
256.0,300.0,0.2810951645576185,0.4416278376404425,64.0,SGD
256.0,500.0,0.3083777360944616,0.4551011895306286,64.0,SGD
